iter	tree	grid	feat	var	change	nchange	geodist	cophdist	condition
0	7	Word order	Clitic pronouns infinitive	OV	loss	12	787.759183063	5574.64648899	N
0	4	Word order	Clitic pronouns infinitive	VO	gain	11	1377.46253824	7307.34510052	N
0	4	Word order	Clitic pronouns infinitive	VO	loss	6	676.131580142	5234.25612848	N
0	14	Word order	Clitic pronouns participle	2nd position	gain	4	996.944384715	5605.54100906	N
0	14	Word order	Clitic pronouns participle	2nd position	loss	8	981.264469172	2191.6109356	N
0	8	Word order	Clitic pronouns participle	OV	gain	26	646.918042846	5452.21603508	N
0	8	Word order	Clitic pronouns participle	OV	loss	29	444.405666881	2915.23135387	N
0	6	Word order	Clitic pronouns participle	VO	gain	12	1064.55386941	6330.93429561	N
0	6	Word order	Clitic pronouns participle	VO	loss	11	502.62818107	6405.16479253	N
0	15	Word order	Infinitive	OV	gain	12	500.395856242	6535.73733264	N
0	15	Word order	Infinitive	OV	loss	8	1815.93836861	5537.57147886	N
0	17	Word order	Infinitive	VO	gain	10	1419.76272613	4990.65306493	N
0	17	Word order	Infinitive	VO	loss	7	737.914364159	6951.05890851	N
0	13	Word order	Main clauses	SOV	gain	3	1170.79643073	9983.62270552	N
0	13	Word order	Main clauses	SOV	loss	6	1142.02017385	8735.24089595	N
0	2	Word order	Main clauses	SVO	gain	11	718.679729532	6383.49061512	N
0	2	Word order	Main clauses	SVO	loss	6	733.453359441	4712.30538755	N
0	9	Word order	Main clauses	V2	gain	8	1107.37825266	4577.73378369	N
0	9	Word order	Main clauses	V2	loss	11	462.881909355	5382.65057312	N
0	8	Word order	Main clauses	VSO	gain	2	3408.40935219	6020.4519517	N
0	11	Word order	Noun-Possessor	N-Poss	gain	7	1296.44893367	5478.9007667	N
0	11	Word order	Noun-Possessor	N-Poss	loss	12	649.916973578	5316.08056186	N
0	16	Word order	Noun-Possessor	Poss-N	gain	11	1005.35076679	6965.58125242	N
0	16	Word order	Noun-Possessor	Poss-N	loss	7	883.069771198	4848.61664151	N
0	17	Word order	Noun-adjective	AN	gain	7	1221.15664614	8322.46047883	N
0	17	Word order	Noun-adjective	AN	loss	5	1684.58646236	4898.58865638	N
0	12	Word order	Noun-adjective	NA	gain	5	2108.12716009	7731.67574763	N
0	12	Word order	Noun-adjective	NA	loss	12	770.368627661	7635.4982311	N
0	17	Word order	Noun-relative clause	NRel	gain	17	779.278187069	6675.18901767	N
0	17	Word order	Noun-relative clause	NRel	loss	6	1363.02347977	5449.14814254	N
0	14	Word order	Noun-relative clause	RelN	gain	4	2125.7325425	8558.99029536	N
0	14	Word order	Noun-relative clause	RelN	loss	6	686.082667148	1667.60385259	N
0	10	Word order	Participle	OV	gain	4	775.533603447	8396.95258885	N
0	10	Word order	Participle	OV	loss	9	1386.87445022	5949.95734094	N
0	4	Word order	Participle	VO	gain	7	2214.96555998	5132.69133644	N
0	4	Word order	Participle	VO	loss	7	908.680950706	9461.34760249	N
0	6	Word order	Subordinate clause	SOV	gain	8	578.378797648	6032.32925048	N
0	6	Word order	Subordinate clause	SOV	loss	10	1211.92011942	8475.71050507	N
0	17	Word order	Subordinate clause	SVO	gain	14	527.704953638	5247.44968979	N
0	17	Word order	Subordinate clause	SVO	loss	4	3099.35156337	8869.99122959	N
0	16	Word order	Subordinate clause	V2	gain	2	1572.510752	7290.35907312	N
0	16	Word order	Subordinate clause	V2	loss	3	411.219008627	9619.22053323	N
0	6	Word order	Subordinate clause	VSO	gain	2	3132.30184219	5852.5827	N
0	8	Word order	WH-element	WH-V	gain	23	632.214392726	4801.90351515	N
0	8	Word order	WH-element	WH-V	loss	16	942.255525321	4211.51943826	N
0	7	Word order	WH-element	WH-initial	gain	4	1865.06941173	6765.41067048	N
0	7	Word order	WH-element	WH-initial	loss	13	1360.82416015	4362.36847832	N
1	0	ALIGNMENT	Compare PROG-PAST	PAST_A=PROG_O	gain	12	1089.89465163	3436.2933892	C
1	0	ALIGNMENT	Compare PROG-PAST	PAST_A=PROG_O	loss	5	532.862933135	2641.88361968	S
1	9	ALIGNMENT	Compare PROG-PAST	PROG_A=PST_O	gain	15	691.381326646	3765.51076169	C
1	9	ALIGNMENT	Compare PROG-PAST	PROG_A=PST_O	loss	5	700.286269266	5122.94653099	S
1	0	ALIGNMENT	Compare PROG-PAST	PROG_So=PST_So	gain	2	572.869633231	1906.91807908	S
1	0	ALIGNMENT	Compare PROG-PAST	PROG_So=PST_So	loss	2	1431.31669209	5873.20883933	C
1	13	ALIGNMENT	Noun: Present Progressive	N:PROG: O=So?	gain	31	810.492277638	6531.10841739	S
1	13	ALIGNMENT	Noun: Present Progressive	N:PROG: O=So?	loss	29	609.369483092	5315.13985584	C
1	13	ALIGNMENT	Noun: Present Progressive	N:PROG:A=O?	gain	22	859.005966633	5989.6236205	S
